movieId,user_score,language,budget,revenue
161044.0,50,Danish,-,-
161127.0,67,English,"$28,000,000.00","$21,011,110.00"
161131.0,69,English,"$50,000,000.00","$86,234,523.00"
161290.0,39,English,"$4,000,000.00",-
161354.0,66,English,"$3,500,000.00","$3,775,000.00"
161580.0,65,English,"$20,000,000.00","$183,936,074.00"
161582.0,73,English,"$12,000,000.00","$37,600,000.00"
161594.0,67,Japanese,-,"$269,980.00"
161634.0,70,English,"$9,900,000.00","$159,100,000.00"
161830.0,51,English,-,"$2,634.00"
161918.0,45,English,-,-
161922.0,72,English,"$9,000,000.00","$18,803,648.00"
161966.0,67,French,"$9,804,690.00","$2,341,534.00"
162082.0,78,Korean,"$8,500,000.00","$87,547,518.00"
162344.0,71,English,-,-
162350.0,64,English,"$90,000,000.00","$162,400,000.00"
162414.0,74,English,"$4,000,000.00","$65,046,687.00"
162478.0,57,English,"$25,000,000.00","$29,200,000.00"
162578.0,76,English,"$60,000,000.00","$76,249,438.00"
162590.0,64,English,"$35,000,000.00","$212,000,000.00"
162598.0,69,English,"$110,000,000.00","$121,790,373.00"
162600.0,68,English,"$110,000,000.00","$296,482,446.00"
162602.0,64,English,"$45,000,000.00","$173,200,000.00"
162606.0,71,English,"$44,000,000.00","$155,160,045.00"
162828.0,64,English,-,"$302,109.00"
162968.0,77,Japanese,-,-
162982.0,76,Japanese,-,"$4,843,719.00"
163056.0,72,Japanese,"$15,000,000.00","$78,053,145.00"
163072.0,73,Russian,-,-
163112.0,74,Russian,-,-
163134.0,85,Japanese,-,"$358,000,000.00"
163386.0,75,Russian,-,-
163527.0,68,English,-,-
163639.0,58,English,-,-
163645.0,82,English,"$40,000,000.00","$175,302,354.00"
163653.0,66,English,-,-
163925.0,66,Russian,-,-
163937.0,52,English,"$5,000,000.00","$45,172,994.00"
163981.0,54,English,"$1,500,000.00","$850,419.00"
163985.0,61,English,"$2,000,000.00",-
164179.0,76,English,"$47,000,000.00","$203,388,186.00"
164200.0,66,English,"$70,000,000.00","$182,379,278.00"
164226.0,49,English,-,"$4,218.00"
164280.0,76,Castilian,-,-
164367.0,65,English,"$5,005,600.00",-
164375.0,50,English,-,-
164540.0,67,English,-,-
164647.0,58,English,-,-
164655.0,68,English,-,-
164707.0,60,English,-,-
164753.0,59,English,-,-
164881.0,46,Russian,"$3,800,000.00",-
164909.0,79,English,"$30,000,000.00","$447,407,695.00"
164917.0,79,English,-,-
165075.0,61,English,-,"$1,126.00"
165101.0,61,English,"$75,000,000.00","$220,000,000.00"
165103.0,61,English,"$40,000,000.00","$29,900,000.00"
165139.0,61,English,-,-
165343.0,51,English,-,-
165347.0,60,English,"$60,000,000.00","$162,100,000.00"
165483.0,68,English,-,-
165489.0,73,English,-,-
165529.0,55,English,-,-
165549.0,75,English,"$9,000,000.00","$79,000,000.00"
165551.0,81,English,"$12,000,000.00","$140,312,928.00"
165635.0,68,English,"$100,000.00",-
165639.0,73,English,-,-
165645.0,54,English,"$26,000,000.00","$24,100,000.00"
165671.0,70,English,-,-
165843.0,67,English,-,"$197,621.00"
165947.0,57,English,"$40,000,000.00",-
165959.0,69,Russian,"$4,000,000.00","$1,730,000.00"
165969.0,74,English,"$36,501.00",-
166015.0,68,French,-,-
166024.0,78,English,-,-
166183.0,71,Russian,-,-
166203.0,72,German,-,"$5,188,128.00"
166291.0,84,Japanese,-,"$30,200,000.00"
166461.0,76,English,"$150,000,000.00","$690,860,472.00"
166492.0,57,English,"$45,000,000.00","$114,500,000.00"
166526.0,71,English,"$30,000,000.00","$14,793,385.00"
166528.0,75,English,"$200,000,000.00","$1,056,057,273.00"
166534.0,73,English,"$9,000,000.00","$278,454,358.00"
166558.0,59,English,"$35,000,000.00","$81,093,313.00"
166568.0,74,English,"$13,000,000.00","$9,101,546.00"
166635.0,69,English,"$110,000,000.00","$303,144,152.00"
166643.0,81,English,"$25,000,000.00","$236,000,000.00"
166705.0,69,English,"$24,000,000.00","$64,400,000.00"
166946.0,71,English,"$15,000,000.00","$24,121,245.00"
167018.0,64,English,"$38,000,000.00","$118,102,725.00"
167036.0,71,English,"$75,000,000.00","$634,151,679.00"
167064.0,77,English,"$1,000,000.00","$7,123,919.00"
167296.0,48,English,-,-
167370.0,54,English,"$125,000,000.00","$240,700,000.00"
167380.0,76,English,"$22,000,000.00","$205,000,000.00"
167538.0,43,English,-,-
167634.0,61,English,"$22,000,000.00","$41,087,017.00"
167706.0,58,English,-,$49.00
167732.0,79,English,"$8,000,000.00","$17,900,000.00"
167746.0,72,English,"$80,000,000.00","$311,950,384.00"
167772.0,67,English,-,-
167790.0,54,Russian,"$900,000.00","$1,237,319.00"
167854.0,62,English,-,-
168026.0,72,English,-,-
168090.0,81,Japanese,-,-
168144.0,63,English,-,-
168174.0,70,English,-,-
168218.0,81,Japanese,-,-
168248.0,73,English,"$40,000,000.00","$171,539,887.00"
168250.0,76,English,"$4,500,000.00","$255,407,969.00"
168252.0,78,English,"$97,000,000.00","$619,021,436.00"
168254.0,65,English,"$185,000,000.00","$566,652,812.00"
168266.0,69,English,"$18,000,000.00","$42,100,000.00"
168326.0,73,English,"$5,000,000.00","$56,303,596.00"
168350.0,62,English,-,-
168358.0,52,English,-,-
168366.0,70,English,"$160,000,000.00","$1,266,115,964.00"
168418.0,64,English,"$125,000,000.00","$527,965,936.00"
168456.0,47,English,-,-
168492.0,81,English,"$4,000,000.00","$43,143,046.00"
168608.0,74,English,"$10,000,000.00",-
168612.0,61,English,"$110,000,000.00","$169,801,921.00"
168632.0,68,English,-,-
168712.0,65,English,"$55,000,000.00","$378,800,000.00"
168846.0,72,English,-,-
169034.0,85,English,-,-
169180.0,60,English,-,-
169670.0,59,English,-,"$151,042.00"
169904.0,55,English,-,-
169912.0,69,English,-,-
